;Unnamed: 0.1;MLP_Seco;MLP_S;MLP_NE;MLP_N;MLP_SIN;LSTM_Seco;LSTM_S;LSTM_NE;LSTM_N;LSTM_SIN;GRU_Seco;GRU_S;GRU_NE;GRU_N;GRU_SIN;Prev_ONS_Seco;Prev_ONS_S;Prev_ONS_NE;Prev_ONS_N;Prev ONS_SIN;SECO Carga Verificada;S Carga Verificada;NE Carga Verificada;N Carga Verificada;SIN Carga Verificada;MAPE MLP Seco;MAPE MLP S;MAPE MLP NE;MAPE MLP N;MAPE MLP SIN;MAPE LSTM Seco;MAPE LSTM S;MAPE LSTM NE;MAPE LSTM N;MAPE LSTM SIN;MAPE GRU Seco;MAPE GRU S;MAPE GRU NE;MAPE GRU N;MAPE GRU SIN;MAPE ONS Seco;MAPE ONS S;MAPE ONS NE;MAPE ONS N;MAPE ONS SIN;MAE MLP Seco;MAE MLP S;MAE MLP NE;MAE MLP N;MAE MLP SIN;MAE LSTM Seco;MAE LSTM S;MAE LSTM NE;MAE LSTM N;MAE LSTM SIN;MAE GRU Seco;MAE GRU S;MAE GRU NE;MAE GRU N;MAE GRU SIN;MAE ONS Seco;MAE ONS S;MAE ONS NE;MAE ONS N;MAE ONS SIN
20;20;45788,76;15087,51;13955,57;7028,76;81860,6;42368,17;14388,23;13451,3;7163,11;77370,81;43749,37;14156,81;13270,71;6827,23;78004,12;45838,21;17446,24;13076,32;6990,89;83351,66;41374,97;13468,87;12760,45;6947,0;74551,3;10,67;12,02;9,37;1,18;9,8;2,4;6,83;5,41;3,11;3,78;5,74;5,11;4,0;1,72;4,63;10,79;29,53;2,48;0,63;11,8;4413,79;1618,64;1195,12;81,76;7309,3;993,2;919,36;690,85;216,11;2819,51;2374,4;687,94;510,26;-119,77;3452,82;4463,24;3977,37;315,87;43,89;8800,36
21;21;46550,28;15345,5;14198,08;7127,29;83221,15;43018,78;14651,5;13584,83;7240,42;78495,53;44418,72;14418,35;13380,71;6927,04;79144,82;46364,45;17672,42;13106,19;7150,39;84293,45;42129,73;13733,06;12882,8;7071,76;75817,34;10,49;11,74;10,21;0,79;9,77;2,11;6,69;5,45;2,39;3,53;5,43;4,99;3,86;2,05;4,39;10,05;28,69;1,73;1,11;11,18;4420,55;1612,44;1315,28;55,53;7403,81;889,05;918,44;702,03;168,66;2678,19;2288,99;685,29;497,91;-144,72;3327,48;4234,72;3939,36;223,39;78,63;8476,11
22;22;47226,67;15649,64;14376,23;7199,4;84451,94;43540,84;14971,95;13708,63;7297,41;79518,83;44933,35;14723,75;13471,17;6995,95;80124,22;46787,38;18024,69;13066,76;7150,26;85029,09;42683,33;14003,99;12992,54;7157,66;76837,51;10,64;11,75;10,65;0,58;9,91;2,01;6,91;5,51;1,95;3,49;5,27;5,14;3,68;2,26;4,28;9,62;28,71;0,57;0,1;10,66;4543,34;1645,65;1383,69;41,74;7614,43;857,51;967,96;716,09;139,75;2681,32;2250,02;719,76;478,63;-161,71;3286,71;4104,05;4020,7;74,22;-7,4;8191,58
23;23;47818,89;15914,0;14438,43;7242,99;85414,31;43885,85;15289,86;13808,92;7315,52;80300,15;45193,39;14955,61;13505,37;7029,43;80683,8;47554,06;18380,02;13271,69;7058,05;86263,82;42878,84;14339,07;13071,86;7175,96;77465,73;11,52;10,98;10,45;0,93;10,26;2,35;6,63;5,64;1,94;3,66;5,4;4,3;3,32;2,04;4,15;10,9;28,18;1,53;1,64;11,36;4940,05;1574,93;1366,57;67,03;7948,58;1007,01;950,79;737,06;139,56;2834,42;2314,55;616,54;433,51;-146,53;3218,07;4675,22;4040,95;199,83;-117,91;8798,09
24;24;48031,54;15867,56;14404,06;7241,24;85544,4;44081,55;15351,88;13817,1;7297,32;80547,85;45189,76;14879,1;13458,34;7018,32;80545,52;47327,32;18141,19;12354,2;7075,79;84898,5;42854,17;14536,99;13048,42;7143,72;77583,31;12,08;9,15;10,39;1,37;10,26;2,86;5,61;5,89;2,15;3,82;5,45;2,35;3,14;1,76;3,82;10,44;24,79;5,32;0,95;9,43;5177,37;1330,57;1355,64;97,52;7961,09;1227,38;814,89;768,68;153,6;2964,54;2335,59;342,11;409,92;-125,4;2962,21;4473,15;3604,2;-694,22;-67,93;7315,19
25;25;47699,85;15377,27;14320,33;7194,01;84591,46;44199,68;15015,3;13700,94;7260,55;80176,47;45011,65;14394,5;13340,25;6967,8;79714,2;46712,48;17306,41;12385,86;6991,83;83396,58;42830,66;14428,2;12886,63;7089,68;77235,16;11,37;6,58;11,13;1,47;9,52;3,2;4,07;6,32;2,41;3,81;5,09;0,23;3,52;1,72;3,21;9,06;19,95;3,89;1,38;7,98;4869,19;949,07;1433,7;104,33;7356,3;1369,02;587,1;814,31;170,87;2941,31;2180,99;-33,7;453,62;-121,88;2479,04;3881,82;2878,21;-500,77;-97,85;6161,42
26;26;47477,78;15047,03;14274,81;7182,81;83982,43;44411,88;14773,52;13628,42;7262,22;80076,04;45050,48;14060,2;13290,14;6945,29;79346,11;46691,32;17177,03;12850,68;7056,88;83775,91;43068,56;14228,66;12752,59;7043,54;77093,34;10,24;5,75;11,94;1,98;8,94;3,12;3,83;6,87;3,1;3,87;4,6;1,18;4,22;1,39;2,92;8,41;20,72;0,77;0,19;8,67;4409,22;818,37;1522,22;139,27;6889,09;1343,32;544,86;875,83;218,68;2982,7;1981,93;-168,46;537,55;-98,25;2252,77;3622,76;2948,37;98,09;13,34;6682,57
27;27;47971,38;15422,75;14337,46;7279,42;85011,01;44848,94;15082,97;13754,14;7349,94;81035,99;45612,16;14380,71;13429,24;7013,12;80435,23;47720,2;17806,56;13094,27;7270,15;85891,18;43724,86;14190,4;12805,41;7036,07;77756,74;9,71;8,68;11,96;3,46;9,33;2,57;6,29;7,41;4,46;4,22;4,32;1,34;4,87;0,33;3,44;9,14;25,48;2,26;3,33;10,46;4246,52;1232,35;1532,05;243,35;7254,27;1124,08;892,57;948,73;313,87;3279,25;1887,3;190,31;623,83;-22,95;2678,49;3995,34;3616,16;288,86;234,08;8134,44
28;28;48776,16;16081,25;14467,43;7435,28;86760,12;45378,57;15615,99;13978,77;7494,22;82467,55;46358,29;14987,1;13678,68;7151,35;82175,42;48128,74;18322,49;12988,98;7480,22;86920,43;44504,58;14323,92;12974,65;7101,42;78904,56;9,6;12,27;11,51;4,7;9,96;1,96;9,02;7,74;5,53;4,52;4,17;4,63;5,43;0,7;4,15;8,14;27,92;0,11;5,33;10,16;4271,58;1757,33;1492,78;333,86;7855,56;873,99;1292,07;1004,12;392,8;3562,99;1853,71;663,18;704,03;49,93;3270,86;3624,16;3998,57;14,33;378,8;8015,87
29;29;49359,82;16490,84;14606,91;7581,58;88039,15;45834,08;15950,98;14166,45;7647,15;83598,66;46891,42;15403,37;13922,99;7318,0;83535,78;48892,26;18560,01;12624,23;7624,78;87701,28;45076,77;14560,67;13149,28;7251,76;80038,47;9,5;13,26;11,09;4,55;10,0;1,68;9,55;7,74;5,45;4,45;4,03;5,79;5,88;0,91;4,37;8,46;27,47;3,99;5,14;9,57;4283,05;1930,17;1457,63;329,82;8000,68;757,31;1390,31;1017,17;395,39;3560,19;1814,65;842,7;773,71;66,24;3497,31;3815,49;3999,34;-525,05;373,02;7662,81
