;MLP_Seco;MLP_S;MLP_NE;MLP_N;MLP_SIN;LSTM_Seco;LSTM_S;LSTM_NE;LSTM_N;LSTM_SIN;GRU_Seco;GRU_S;GRU_NE;GRU_N;GRU_SIN;Prev_ONS_Seco;Prev_ONS_S;Prev_ONS_NE;Prev_ONS_N;Prev ONS_SIN;SECO Carga Verificada;S Carga Verificada;NE Carga Verificada;N Carga Verificada;SIN Carga Verificada;MAPE MLP Seco;MAPE MLP S;MAPE MLP NE;MAPE MLP N;MAPE MLP SIN;MAPE LSTM Seco;MAPE LSTM S;MAPE LSTM NE;MAPE LSTM N;MAPE LSTM SIN;MAPE GRU Seco;MAPE GRU S;MAPE GRU NE;MAPE GRU N;MAPE GRU SIN;MAPE ONS Seco;MAPE ONS S;MAPE ONS NE;MAPE ONS N;MAPE ONS SIN;MAE MLP Seco;MAE MLP S;MAE MLP NE;MAE MLP N;MAE MLP SIN;MAE LSTM Seco;MAE LSTM S;MAE LSTM NE;MAE LSTM N;MAE LSTM SIN;MAE GRU Seco;MAE GRU S;MAE GRU NE;MAE GRU N;MAE GRU SIN;MAE ONS Seco;MAE ONS S;MAE ONS NE;MAE ONS N;MAE ONS SIN
20;39028,78;11433,7;11345,49;5927,15;67735,12;37821,63;11854,1;10995,55;6363,12;67034,4;37357,13;11024,05;10687,04;5840,09;64908,31;38669,71;11379,37;11010,73;6205,58;67265,39;36907,67;11708,17;10907,86;6154,32;65678,03;5,75;2,34;4,01;3,69;3,13;2,48;1,25;0,8;3,39;2,07;1,22;5,84;2,02;5,11;1,17;4,77;2,81;0,94;0,83;2,42;2121,11;-274,47;437,63;-227,17;2057,09;913,96;145,93;87,69;208,8;1356,37;449,46;-684,12;-220,82;-314,23;-769,72;1762,04;-328,8;102,87;51,26;1587,36
21;39549,07;11729,67;11486,68;5948,69;68714,11;38343,45;12120,27;11046,58;6370,34;67880,64;37779,19;11265,45;10688,57;5813,54;65546,75;39316,49;11656,62;11091,87;6202,13;68267,11;37413,38;11974,32;10893,73;6136,99;66418,42;5,71;2,04;5,44;3,07;3,46;2,49;1,22;1,4;3,8;2,2;0,98;5,92;1,88;5,27;1,31;5,09;2,65;1,82;1,06;2,78;2135,69;-244,65;592,95;-188,3;2295,69;930,07;145,95;152,85;233,35;1462,22;365,81;-708,87;-205,16;-323,45;-871,67;1903,11;-317,7;198,14;65,14;1848,69
22;40058,37;12032,2;11606,14;5971,54;69668,25;38832,96;12440,25;11120,11;6385,79;68779,11;38130,8;11554,63;10703,85;5794,06;66183,34;39873,84;11915,3;11178,1;6199,39;69166,63;38063,59;12286,04;10976,57;6176,45;67502,65;5,24;2,07;5,74;3,32;3,21;2,02;1,26;1,31;3,39;1,89;0,18;5,95;2,48;6,19;1,95;4,76;3,02;1,84;0,37;2,47;1994,78;-253,84;629,57;-204,91;2165,6;769,37;154,21;143,54;209,34;1276,46;67,21;-731,41;-272,72;-382,39;-1319,31;1810,25;-370,74;201,53;22,94;1663,98
23;40657,14;12277,36;11662,12;6003,8;70600,42;39252,46;12777,15;11201,36;6407,75;69638,72;38422,14;11838,52;10733,27;5792,95;66786,88;40373,26;12147,56;11258,27;6245,36;70024,45;38828,52;12676,43;11168,13;6199,3;68872,37;4,71;3,15;4,42;3,15;2,51;1,09;0,79;0,3;3,36;1,11;1,05;6,61;3,89;6,55;3,03;3,98;4,17;0,81;0,74;1,67;1828,62;-399,07;493,99;-195,5;1728,05;423,94;100,72;33,23;208,45;766,35;-406,38;-837,91;-434,86;-406,35;-2085,49;1544,74;-528,87;90,14;46,06;1152,08
24;41171,53;12377,26;11678,67;6030,8;71258,26;39575,77;12988,92;11265,44;6427,11;70257,24;38631,52;11981,06;10768,68;5799,48;67180,74;40699,76;12302,0;11293,59;6245,61;70540,96;39509,25;12995,81;11337,51;6228,98;70071,55;4,21;4,76;3,01;3,18;1,69;0,17;0,05;0,64;3,18;0,26;2,22;7,81;5,02;6,9;4,13;3,01;5,34;0,39;0,27;0,67;1662,28;-618,55;341,16;-198,18;1186,71;66,51;-6,89;-72,07;198,13;185,69;-877,74;-1014,75;-568,83;-429,5;-2890,81;1190,51;-693,81;-43,92;16,63;469,41
25;41424,0;12293,85;11689,04;6039,32;71446,21;39786,22;12977,89;11295,46;6438,84;70498,41;38747,79;11899,09;10803,58;5803,86;67254,32;40989,37;12316,42;11290,88;6256,38;70853,05;39907,64;13109,12;11359,96;6297,32;70674,03;3,8;6,22;2,9;4,1;1,09;0,3;1,0;0,57;2,25;0,25;2,91;9,23;4,9;7,84;4,84;2,71;6,05;0,61;0,65;0,25;1516,36;-815,27;329,08;-258,0;772,18;-121,42;-131,23;-64,5;141,52;-175,62;-1159,85;-1210,03;-556,38;-493,46;-3419,71;1081,73;-792,7;-69,08;-40,94;179,02
26;41496,45;12212,29;11697,77;6044,62;71451,13;39893,55;12928,8;11316,65;6461,4;70600,4;38833,82;11804,03;10846,86;5822,13;67306,84;41030,47;12372,75;11334,83;6269,61;71007,66;39997,54;13122,25;11278,25;6372,67;70770,71;3,75;6,93;3,72;5,15;0,96;0,26;1,47;0,34;1,39;0,24;2,91;10,05;3,82;8,64;4,89;2,58;5,71;0,5;1,62;0,33;1498,91;-909,96;419,52;-328,05;680,42;-103,99;-193,45;38,4;88,73;-170,31;-1163,72;-1318,22;-431,39;-550,54;-3463,87;1032,93;-749,5;56,58;-103,06;236,95
27;41521,6;12302,54;11705,06;6066,51;71595,71;39916,48;13030,24;11354,97;6512,28;70813,97;38940,63;11904,44;10907,01;5869,77;67621,85;41058,5;12509,75;11364,63;6358,15;71291,03;39829,23;13170,86;11171,39;6416,99;70588,47;4,25;6,59;4,78;5,46;1,43;0,22;1,07;1,64;1,49;0,32;2,23;9,62;2,37;8,53;4,2;3,09;5,02;1,73;0,92;1,0;1692,37;-868,32;533,67;-350,48;1007,24;87,25;-140,62;183,58;95,29;225,5;-888,6;-1266,42;-264,38;-547,22;-2966,62;1229,27;-661,11;193,24;-58,84;702,56
28;41575,89;12450,69;11722,62;6114,45;71863,65;39883,24;13203,53;11397,22;6581,56;71065,55;38997,84;12102,68;10975,5;5934,28;68010,3;41011,27;12587,49;11376,18;6378,6;71353,54;39586,52;13268,54;11095,98;6429,95;70380,99;5,03;6,16;5,65;4,91;2,11;0,75;0,49;2,71;2,36;0,97;1,49;8,79;1,09;7,71;3,37;3,6;5,13;2,53;0,8;1,38;1989,37;-817,85;626,64;-315,5;1482,66;296,72;-65,01;301,24;151,61;684,56;-588,68;-1165,86;-120,48;-495,67;-2370,69;1424,75;-681,05;280,2;-51,35;972,55
29;41696,99;12518,72;11759,05;6188,93;72163,69;39828,72;13329,87;11426,33;6653,03;71237,95;38951,11;12256,79;11041,39;5999,68;68248,97;40828,14;12692,83;11399,87;6421,04;71341,88;39453,12;13381,32;11087,54;6429,59;70351,56;5,69;6,45;6,06;3,74;2,58;0,95;0,38;3,06;3,48;1,26;1,27;8,4;0,42;6,69;2,99;3,49;5,15;2,82;0,13;1,41;2243,87;-862,6;671,51;-240,66;1812,13;375,6;-51,45;338,79;223,44;886,39;-502,01;-1124,53;-46,15;-429,91;-2102,59;1375,02;-688,49;312,33;-8,55;990,32
